id,n_explotacion,cuenta,superficie,superficie_bpa,tecnificacion,sistematizacion_con_terrazas,rotacion_gramineas_y_cultivos_de_servicios,pasturas_implantadas,participacion_grupos_asociativos,nutricion_de_suelos,manejo_cultivos_intensivos,certificaciones,capacitacion,ag_tech,plan_pecuario,manejo_ganaderia_integrada,indic_agro,gestion_de_riesgo,eje_persona,eje_planeta,eje_prosperidad,total
bpa2019.6134,CAMPO ROMERO,270840120993,65.87,33,si,,,,si,,,,si,,si,,,,si,si,si,4
bpa2019.6135,Campo Gallo,270810899708,42.23,42,si,,,,si,si,,,si,,,,,,si,si,si,4
bpa2019.6136,EL TRIANGULO,140115117706,7.73,7.73,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6137,AVALLE,250240783645,35.02,16,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6138,La Estrella,360302083831,227.3,227.3,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6139,NIGRA,180404589154,45.75,45,,,,si,si,,,,,,si,,si,,si,si,no,4
bpa2019.6140,MOSCONI ANGEL CARLOS,240307187834,110,110,si,si,si,,si,,,,,,,,,,si,si,si,4
bpa2019.6141,Gustavo Filipuzzi,190200901839,5.95,5.95,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6142,Las Oscuras,280409416520,300,300,si,,,,si,,,,si,,si,,,,si,si,si,4
bpa2019.6143,DON JUAN,150100680809,124.32,124.32,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6144,SALA,330615473499,98.08,98.08,,,,,si,si,,,si,,,,si,,si,si,no,4
bpa2019.6145,TRES COLONIAS,300104204736,13,13,,,si,si,si,,,,si,,,,,,si,si,no,4
bpa2019.6146,Los Mellizos,300621367394,128.76,128,,,si,si,,si,,,si,,,,,,si,si,no,4
bpa2019.6147,Gassmann,190204587586,5.19,5.19,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6148,NASIFF,251104151844,18.6,18.6,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6149,Campo Gallo,270803720735,11.44,11.44,si,,,,si,si,,,si,,,,,,si,si,si,4
bpa2019.6150,Sucesión Tadich,190100858774,33.16,33.16,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6151,TC 38 - LOS OLIVARES,310609418361,1.28,1.28,,si,,si,,si,,,,si,,,,,no,si,si,4
bpa2019.6152,UM1,300116496279,11.13,11.13,si,,,si,,,,,si,,si,,,,si,si,si,4
bpa2019.6153,Gonzalez,360307511351,6.01,6.01,,,,,si,si,,,si,,,,si,,si,si,no,4
bpa2019.6154,EL CERRO,340100715274,66,66,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6155,TC 38 - LOS OLIVARES,310609995814,1.03,1.03,,si,,si,,si,,,,si,,,,,no,si,si,4
